DatasetName,Loc ID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,SampleCollectionEquipmentName,CharacteristicName,ResultValue,ResultUnit
Missanabie Cree First Nation Community-led water quality monitoring,10849,Eskay Lake:Eskay lake boat launch (EL-WM—B),48.3337018,-84.0383211,Lake/Pond,Field Msr/Obs,Surface Water,7/13/2023,Probe/Sensor,"Temperature, water",20.3,deg C
Missanabie Cree First Nation Community-led water quality monitoring,10850,Dog lake:IVC-WM-A,48.3125996,-84.0359051,Lake/Pond,Field Msr/Obs,Surface Water,7/13/2023,Test strip,Total hardness,0,mg/L
Missanabie Cree First Nation Community-led water quality monitoring,10848,Dog Lake:MartinVille (MV-WM-C,48.313915,-84.0620812,Lake/Pond,Field Msr/Obs,Surface Water,7/13/2023,,pH,7.2,None
Missanabie Cree First Nation Community-led water quality monitoring,10847,Hawk Lake:Hawk Lake boat launch (HL-WM-D),48.080144,-84.5518761,Lake/Pond,Field Msr/Obs,Surface Water,7/13/2023,Test strip,Chlorine,0,ppm
Missanabie Cree First Nation Community-led water quality monitoring,10849,Eskay Lake:Eskay lake boat launch (EL-WM—B),48.3337018,-84.0383211,Lake/Pond,Field Msr/Obs,Surface Water,7/13/2023,Test strip,Chlorine,0,ppm
Missanabie Cree First Nation Community-led water quality monitoring,10847,Hawk Lake:Hawk Lake boat launch (HL-WM-D),48.080144,-84.5518761,Lake/Pond,Field Msr/Obs,Surface Water,7/13/2023,Test strip,"Alkalinity, total",80,mg/L
Missanabie Cree First Nation Community-led water quality monitoring,10846,Michipicoten River:Michipicoten River (MRM-WM-E),47.9222696,-84.8045415,River/Stream,Field Msr/Obs,Surface Water,7/13/2023,Test strip,Total hardness,0,mg/L
Missanabie Cree First Nation Community-led water quality monitoring,10850,Dog lake:IVC-WM-A,48.3125996,-84.0359051,Lake/Pond,Field Msr/Obs,Surface Water,7/13/2023,Probe/Sensor,Dissolved oxygen (DO),10,mg/L
Missanabie Cree First Nation Community-led water quality monitoring,10848,Dog Lake:MartinVille (MV-WM-C,48.313915,-84.0620812,Lake/Pond,Field Msr/Obs,Surface Water,7/13/2023,Probe/Sensor,Conductivity,88,uS/cm
Missanabie Cree First Nation Community-led water quality monitoring,10847,Hawk Lake:Hawk Lake boat launch (HL-WM-D),48.080144,-84.5518761,Lake/Pond,Field Msr/Obs,Surface Water,5/25/2023,Test strip,Total hardness,0,mg/L
Missanabie Cree First Nation Community-led water quality monitoring,10848,Dog Lake:MartinVille (MV-WM-C,48.313915,-84.0620812,Lake/Pond,Field Msr/Obs,Surface Water,7/13/2023,Test strip,"Alkalinity, total",80,mg/L
Missanabie Cree First Nation Community-led water quality monitoring,10846,Michipicoten River:Michipicoten River (MRM-WM-E),47.9222696,-84.8045415,River/Stream,Field Msr/Obs,Surface Water,7/13/2023,Probe/Sensor,Dissolved oxygen (DO),10,mg/L
Missanabie Cree First Nation Community-led water quality monitoring,10846,Michipicoten River:Michipicoten River (MRM-WM-E),47.9222696,-84.8045415,River/Stream,Field Msr/Obs,Surface Water,7/13/2023,Test strip,Chlorine,0,ppm
Missanabie Cree First Nation Community-led water quality monitoring,10850,Dog lake:IVC-WM-A,48.3125996,-84.0359051,Lake/Pond,Field Msr/Obs,Surface Water,7/13/2023,Probe/Sensor,"Temperature, water",19.8,deg C
Missanabie Cree First Nation Community-led water quality monitoring,10847,Hawk Lake:Hawk Lake boat launch (HL-WM-D),48.080144,-84.5518761,Lake/Pond,Field Msr/Obs,Surface Water,7/13/2023,Test strip,Total hardness,0,mg/L
Missanabie Cree First Nation Community-led water quality monitoring,10846,Michipicoten River:Michipicoten River (MRM-WM-E),47.9222696,-84.8045415,River/Stream,Field Msr/Obs,Surface Water,7/13/2023,,pH,6.8,None
Missanabie Cree First Nation Community-led water quality monitoring,10848,Dog Lake:MartinVille (MV-WM-C,48.313915,-84.0620812,Lake/Pond,Field Msr/Obs,Surface Water,7/13/2023,Probe/Sensor,Dissolved oxygen (DO),10,mg/L
Missanabie Cree First Nation Community-led water quality monitoring,10847,Hawk Lake:Hawk Lake boat launch (HL-WM-D),48.080144,-84.5518761,Lake/Pond,Field Msr/Obs,Surface Water,5/25/2023,Test strip,Chlorine,0,ppm
Missanabie Cree First Nation Community-led water quality monitoring,10850,Dog lake:IVC-WM-A,48.3125996,-84.0359051,Lake/Pond,Field Msr/Obs,Surface Water,5/24/2023,Probe/Sensor,"Temperature, water",10,deg C
Missanabie Cree First Nation Community-led water quality monitoring,10850,Dog lake:IVC-WM-A,48.3125996,-84.0359051,Lake/Pond,Field Msr/Obs,Surface Water,5/24/2023,Test strip,Total hardness,0,mg/L
Missanabie Cree First Nation Community-led water quality monitoring,10850,Dog lake:IVC-WM-A,48.3125996,-84.0359051,Lake/Pond,Field Msr/Obs,Surface Water,5/24/2023,Probe/Sensor,Conductivity,83,uS/cm
Missanabie Cree First Nation Community-led water quality monitoring,10850,Dog lake:IVC-WM-A,48.3125996,-84.0359051,Lake/Pond,Field Msr/Obs,Surface Water,5/24/2023,Probe/Sensor,Dissolved oxygen (DO),8,mg/L
Missanabie Cree First Nation Community-led water quality monitoring,10850,Dog lake:IVC-WM-A,48.3125996,-84.0359051,Lake/Pond,Field Msr/Obs,Surface Water,5/24/2023,Test strip,"Alkalinity, total",40,mg/L
Missanabie Cree First Nation Community-led water quality monitoring,10850,Dog lake:IVC-WM-A,48.3125996,-84.0359051,Lake/Pond,Field Msr/Obs,Surface Water,5/24/2023,Test strip,Chlorine,0,ppm
Missanabie Cree First Nation Community-led water quality monitoring,10850,Dog lake:IVC-WM-A,48.3125996,-84.0359051,Lake/Pond,Field Msr/Obs,Surface Water,5/24/2023,Secchi Disk,Depth of water column,1,m
Missanabie Cree First Nation Community-led water quality monitoring,10850,Dog lake:IVC-WM-A,48.3125996,-84.0359051,Lake/Pond,Field Msr/Obs,Surface Water,5/24/2023,,pH,6.8,None
Missanabie Cree First Nation Community-led water quality monitoring,10849,Eskay Lake:Eskay lake boat launch (EL-WM—B),48.3337018,-84.0383211,Lake/Pond,Field Msr/Obs,Surface Water,8/29/2023,Test strip,"Alkalinity, total",120,mg/L
Missanabie Cree First Nation Community-led water quality monitoring,10846,Michipicoten River:Michipicoten River (MRM-WM-E),47.9222696,-84.8045415,River/Stream,Field Msr/Obs,Surface Water,8/13/2023,,pH,7.2,None
Missanabie Cree First Nation Community-led water quality monitoring,10848,Dog Lake:MartinVille (MV-WM-C,48.313915,-84.0620812,Lake/Pond,Field Msr/Obs,Surface Water,8/14/2023,Probe/Sensor,"Temperature, water",23.3,deg C
Missanabie Cree First Nation Community-led water quality monitoring,10846,Michipicoten River:Michipicoten River (MRM-WM-E),47.9222696,-84.8045415,River/Stream,Field Msr/Obs,Surface Water,8/13/2023,Test strip,Total hardness,0,mg/L
Missanabie Cree First Nation Community-led water quality monitoring,10848,Dog Lake:MartinVille (MV-WM-C,48.313915,-84.0620812,Lake/Pond,Field Msr/Obs,Surface Water,8/14/2023,Probe/Sensor,"Temperature, air",21,deg C
Missanabie Cree First Nation Community-led water quality monitoring,10846,Michipicoten River:Michipicoten River (MRM-WM-E),47.9222696,-84.8045415,River/Stream,Field Msr/Obs,Surface Water,8/13/2023,Probe/Sensor,Conductivity,72,uS/cm
Missanabie Cree First Nation Community-led water quality monitoring,10850,Dog lake:IVC-WM-A,48.3125996,-84.0359051,Lake/Pond,Field Msr/Obs,Surface Water,8/14/2023,Probe/Sensor,"Temperature, water",23.5,deg C
Missanabie Cree First Nation Community-led water quality monitoring,10850,Dog lake:IVC-WM-A,48.3125996,-84.0359051,Lake/Pond,Field Msr/Obs,Surface Water,8/14/2023,,pH,7.2,None
Missanabie Cree First Nation Community-led water quality monitoring,10850,Dog lake:IVC-WM-A,48.3125996,-84.0359051,Lake/Pond,Field Msr/Obs,Surface Water,8/14/2023,Probe/Sensor,Conductivity,93,uS/cm
Missanabie Cree First Nation Community-led water quality monitoring,10848,Dog Lake:MartinVille (MV-WM-C,48.313915,-84.0620812,Lake/Pond,Field Msr/Obs,Surface Water,8/14/2023,Probe/Sensor,Dissolved oxygen (DO),12,mg/L
Missanabie Cree First Nation Community-led water quality monitoring,10849,Eskay Lake:Eskay lake boat launch (EL-WM—B),48.3337018,-84.0383211,Lake/Pond,Field Msr/Obs,Surface Water,8/29/2023,Probe/Sensor,"Temperature, air",19,deg C
Missanabie Cree First Nation Community-led water quality monitoring,10849,Eskay Lake:Eskay lake boat launch (EL-WM—B),48.3337018,-84.0383211,Lake/Pond,Field Msr/Obs,Surface Water,8/29/2023,Probe/Sensor,Dissolved oxygen (DO),11,mg/L
Missanabie Cree First Nation Community-led water quality monitoring,10849,Eskay Lake:Eskay lake boat launch (EL-WM—B),48.3337018,-84.0383211,Lake/Pond,Field Msr/Obs,Surface Water,8/29/2023,Test strip,Chlorine,0,ppm
Missanabie Cree First Nation Community-led water quality monitoring,10846,Michipicoten River:Michipicoten River (MRM-WM-E),47.9222696,-84.8045415,River/Stream,Field Msr/Obs,Surface Water,8/13/2023,Probe/Sensor,"Temperature, water",17.2,deg C
Missanabie Cree First Nation Community-led water quality monitoring,10847,Hawk Lake:Hawk Lake boat launch (HL-WM-D),48.080144,-84.5518761,Lake/Pond,Field Msr/Obs,Surface Water,8/13/2023,Probe/Sensor,"Temperature, water",20.8,deg C
Missanabie Cree First Nation Community-led water quality monitoring,10850,Dog lake:IVC-WM-A,48.3125996,-84.0359051,Lake/Pond,Field Msr/Obs,Surface Water,8/14/2023,Probe/Sensor,Dissolved oxygen (DO),12,mg/L
Missanabie Cree First Nation Community-led water quality monitoring,10848,Dog Lake:MartinVille (MV-WM-C,48.313915,-84.0620812,Lake/Pond,Field Msr/Obs,Surface Water,8/14/2023,,pH,7.2,None
Missanabie Cree First Nation Community-led water quality monitoring,10849,Eskay Lake:Eskay lake boat launch (EL-WM—B),48.3337018,-84.0383211,Lake/Pond,Field Msr/Obs,Surface Water,8/29/2023,Probe/Sensor,"Temperature, water",23.5,deg C
Missanabie Cree First Nation Community-led water quality monitoring,10849,Eskay Lake:Eskay lake boat launch (EL-WM—B),48.3337018,-84.0383211,Lake/Pond,Field Msr/Obs,Surface Water,8/29/2023,Test strip,Total hardness,0,mg/L
Missanabie Cree First Nation Community-led water quality monitoring,10846,Michipicoten River:Michipicoten River (MRM-WM-E),47.9222696,-84.8045415,River/Stream,Field Msr/Obs,Surface Water,8/13/2023,Test strip,"Alkalinity, total",80,mg/L
Missanabie Cree First Nation Community-led water quality monitoring,10847,Hawk Lake:Hawk Lake boat launch (HL-WM-D),48.080144,-84.5518761,Lake/Pond,Field Msr/Obs,Surface Water,8/13/2023,Probe/Sensor,Conductivity,126,uS/cm
Missanabie Cree First Nation Community-led water quality monitoring,10848,Dog Lake:MartinVille (MV-WM-C,48.313915,-84.0620812,Lake/Pond,Field Msr/Obs,Surface Water,8/14/2023,Test strip,Chlorine,0,ppm
Missanabie Cree First Nation Community-led water quality monitoring,10849,Eskay Lake:Eskay lake boat launch (EL-WM—B),48.3337018,-84.0383211,Lake/Pond,Field Msr/Obs,Surface Water,8/29/2023,Probe/Sensor,Conductivity,75,uS/cm
Missanabie Cree First Nation Community-led water quality monitoring,10850,Dog lake:IVC-WM-A,48.3125996,-84.0359051,Lake/Pond,Field Msr/Obs,Surface Water,8/14/2023,Test strip,Chlorine,0,ppm
Missanabie Cree First Nation Community-led water quality monitoring,10847,Hawk Lake:Hawk Lake boat launch (HL-WM-D),48.080144,-84.5518761,Lake/Pond,Field Msr/Obs,Surface Water,8/13/2023,Test strip,Total hardness,0,mg/L
Missanabie Cree First Nation Community-led water quality monitoring,10850,Dog lake:IVC-WM-A,48.3125996,-84.0359051,Lake/Pond,Field Msr/Obs,Surface Water,8/14/2023,Test strip,"Alkalinity, total",80,mg/L
Missanabie Cree First Nation Community-led water quality monitoring,10848,Dog Lake:MartinVille (MV-WM-C,48.313915,-84.0620812,Lake/Pond,Field Msr/Obs,Surface Water,8/14/2023,Test strip,"Alkalinity, total",80,mg/L
Missanabie Cree First Nation Community-led water quality monitoring,10846,Michipicoten River:Michipicoten River (MRM-WM-E),47.9222696,-84.8045415,River/Stream,Field Msr/Obs,Surface Water,8/13/2023,Test strip,Chlorine,0,ppm
Missanabie Cree First Nation Community-led water quality monitoring,10847,Hawk Lake:Hawk Lake boat launch (HL-WM-D),48.080144,-84.5518761,Lake/Pond,Field Msr/Obs,Surface Water,8/13/2023,Test strip,Chlorine,0,ppm
Missanabie Cree First Nation Community-led water quality monitoring,10847,Hawk Lake:Hawk Lake boat launch (HL-WM-D),48.080144,-84.5518761,Lake/Pond,Field Msr/Obs,Surface Water,8/13/2023,Test strip,"Alkalinity, total",80,mg/L
Missanabie Cree First Nation Community-led water quality monitoring,10850,Dog lake:IVC-WM-A,48.3125996,-84.0359051,Lake/Pond,Field Msr/Obs,Surface Water,8/14/2023,Probe/Sensor,"Temperature, air",17,deg C
Missanabie Cree First Nation Community-led water quality monitoring,10849,Eskay Lake:Eskay lake boat launch (EL-WM—B),48.3337018,-84.0383211,Lake/Pond,Field Msr/Obs,Surface Water,8/29/2023,,pH,7.2,None
Missanabie Cree First Nation Community-led water quality monitoring,10846,Michipicoten River:Michipicoten River (MRM-WM-E),47.9222696,-84.8045415,River/Stream,Field Msr/Obs,Surface Water,8/13/2023,Probe/Sensor,"Temperature, air",15,deg C
Missanabie Cree First Nation Community-led water quality monitoring,10848,Dog Lake:MartinVille (MV-WM-C,48.313915,-84.0620812,Lake/Pond,Field Msr/Obs,Surface Water,8/14/2023,Test strip,Total hardness,0,mg/L
Missanabie Cree First Nation Community-led water quality monitoring,10847,Hawk Lake:Hawk Lake boat launch (HL-WM-D),48.080144,-84.5518761,Lake/Pond,Field Msr/Obs,Surface Water,8/13/2023,,pH,7.2,None
Missanabie Cree First Nation Community-led water quality monitoring,10848,Dog Lake:MartinVille (MV-WM-C,48.313915,-84.0620812,Lake/Pond,Field Msr/Obs,Surface Water,8/14/2023,Probe/Sensor,Conductivity,89,uS/cm
Missanabie Cree First Nation Community-led water quality monitoring,10850,Dog lake:IVC-WM-A,48.3125996,-84.0359051,Lake/Pond,Field Msr/Obs,Surface Water,8/14/2023,Test strip,Total hardness,0,mg/L
Missanabie Cree First Nation Community-led water quality monitoring,10846,Michipicoten River:Michipicoten River (MRM-WM-E),47.9222696,-84.8045415,River/Stream,Field Msr/Obs,Surface Water,8/13/2023,Probe/Sensor,Dissolved oxygen (DO),9,mg/L
